S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1308,BASHEER AHMED,Indian Union Muslim League,35,0,35,0.02,Guntur West,94,Andhra Pradesh 
1309,RAYAPUDI. PERCY RANI,Indian Labour Party (Ambedkar Phule),33,1,34,0.02,Guntur West,94,Andhra Pradesh 
1310,N. J. VIDYA SAGAR,Viduthalai Chiruthaigal Katchi,52,1,53,0.03,Guntur West,94,Andhra Pradesh 
1311,SATYAPRAMODA. UDUTA,Yuga Thulasi Party,87,3,90,0.05,Guntur West,94,Andhra Pradesh 
1312,SYED RIZVANA,Navarang Congress Party,50,0,50,0.03,Guntur West,94,Andhra Pradesh 
1313,DR. T. SEVAKUMAR (S.H.O SEVAKUMAR),Andhra Rastra Praja Samithi,244,11,255,0.14,Guntur West,94,Andhra Pradesh 
1314,KANAKA RATNAM GUNDU,Independent,290,0,290,0.15,Guntur West,94,Andhra Pradesh 
1315,KOTIKALA ANITHA,Independent,273,3,276,0.15,Guntur West,94,Andhra Pradesh 
1316,GANDIKOTA BALAJI,Independent,134,0,134,0.07,Guntur West,94,Andhra Pradesh 
1317,CHINTAPALLI VENKATA RAMAIAH,Independent,60,1,61,0.03,Guntur West,94,Andhra Pradesh 
1318,CHILLARA SUNITHA,Independent,26,0,26,0.01,Guntur West,94,Andhra Pradesh 
1319,PALLEBOYINA SWATHI,Independent,799,16,815,0.43,Guntur West,94,Andhra Pradesh 
1320,PALAKAYALA SRINIVAS RAO,Independent,16,0,16,0.01,Guntur West,94,Andhra Pradesh 
1321,MADHAVI TUMMURU,Independent,34,0,34,0.02,Guntur West,94,Andhra Pradesh 
1322,RACHA MALLIKARJUNA RAO,Independent,47,0,47,0.02,Guntur West,94,Andhra Pradesh 
1323,SIVA DURGA PRASANNA,Independent,22,0,22,0.01,Guntur West,94,Andhra Pradesh 
1324,SHAIK. MUNTAZ,Independent,47,0,47,0.02,Guntur West,94,Andhra Pradesh 
1325,SATTENAPALLI NARASIMHA RAO,Independent,26,0,26,0.01,Guntur West,94,Andhra Pradesh 
1326,NOTA,None of the Above,1020,35,1055,0.56,Guntur West,94,Andhra Pradesh 
1327,GUDAVALLI MANIKUMARI,Bahujan Samaj Party,989,7,996,0.55,Guntur East,95,Andhra Pradesh 
1328,NOORI FATHIMA SHAIK,Yuvajana Sramika Rythu Congress Party,67812,1041,68853,38.36,Guntur East,95,Andhra Pradesh 
1329,MOHAMMED NASEER AHMED,Telugu Desam,99163,1652,100815,56.17,Guntur East,95,Andhra Pradesh 
1330,SHAIK MASTAN VALI,Indian National Congress,5141,98,5239,2.92,Guntur East,95,Andhra Pradesh 
1331,ALTAF HUSSAIN SHAIK,Indian Union Muslim League,72,0,72,0.04,Guntur East,95,Andhra Pradesh 
1332,KAJA VENKATA RAGHAVENDRA SANJEEVARAO,Pyramid Party of India,101,1,102,0.06,Guntur East,95,Andhra Pradesh 
1333,NALLAKA VIJAYA RAJU,Navodayam Party,93,1,94,0.05,Guntur East,95,Andhra Pradesh 
1334,SHAIK ALTHAF,Andhra Pradesh Rashtra Samithi,82,0,82,0.05,Guntur East,95,Andhra Pradesh 
1335,SHAIK AHAMED BASHA,Navarang Congress Party,56,1,57,0.03,Guntur East,95,Andhra Pradesh 
1336,DURREY SHAHAWAR SHAIK,Independent,82,0,82,0.05,Guntur East,95,Andhra Pradesh 
1337,DR. VAHED,Independent,89,4,93,0.05,Guntur East,95,Andhra Pradesh 
1338,SHAIK SILAR,Independent,88,0,88,0.05,Guntur East,95,Andhra Pradesh 
1339,SYED JAVED,Independent,126,0,126,0.07,Guntur East,95,Andhra Pradesh 
