S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,percentage  of Votes,Assembly Constituency,Assembly Constituency Number ,State 
1,ALURI CHINNARAO,Bahujan Samaj Party,1536,7,1543,1.02,Achanta,56,Andhra Pradesh 
2,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,58353,495,58848,39.09,Achanta,56,Andhra Pradesh 
3,NEKKANTI VENKATA SATYANARAYANA (SATISH),Indian National Congress,1859,13,1872,1.24,Achanta,56,Andhra Pradesh 
4,SATYANARAYANA PITHANI,Telugu Desam,84429,973,85402,56.73,Achanta,56,Andhra Pradesh 
5,ALLADA SURYA BHASKARA RAO,Jaathia Chethi Vruthula Ikya Vedika Party,275,0,275,0.18,Achanta,56,Andhra Pradesh 
6,KAKI SYAM KUMAR,Jaibhim Rao Bharat Party,215,0,215,0.14,Achanta,56,Andhra Pradesh 
7,VELAGALA SREENIVASA REDDY,Jai Bharat National Party,267,3,270,0.18,Achanta,56,Andhra Pradesh 
8,RAMOJU PURNA CHANDRA SEKHAR,Independent,150,0,150,0.1,Achanta,56,Andhra Pradesh 
9,SIKILE RATNARAJU,Independent,293,0,293,0.19,Achanta,56,Andhra Pradesh 
10,NOTA,None of the Above,1661,12,1673,1.11,Achanta,56,Andhra Pradesh 
11,KISHORE BABU ADUSUMALLI,Indian National Congress,4055,17,4072,1.89,Addanki ,105,Andhra Pradesh 
12,GOTTIPATI RAVI KUMAR,Telugu Desam,115078,1340,116418,54.02,Addanki ,105,Andhra Pradesh 
13,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,90696,832,91528,42.47,Addanki ,105,Andhra Pradesh 
14,JOSEPH MANDA,Bahujan Samaj Party,438,10,448,0.21,Addanki ,105,Andhra Pradesh 
15,KANDULA YAKOBU,Liberation Congress Party,81,2,83,0.04,Addanki ,105,Andhra Pradesh 
16,GUNTUPALLI GOPI,Navodayam Party,49,0,49,0.02,Addanki ,105,Andhra Pradesh 
17,GUMMA SADASIVARAO,Pyramid Party of India,51,0,51,0.02,Addanki ,105,Andhra Pradesh 
18,PULIPATI HEBELU,Jaibhim Rao Bharat Party,109,5,114,0.05,Addanki ,105,Andhra Pradesh 
19,MEESALA SAMRAJYAM,Bharatha Chaitanya Yuvajana Party,107,3,110,0.05,Addanki ,105,Andhra Pradesh 
20,RAMBABU BACHINA,Jateeya Sama Samajam Party,448,0,448,0.21,Addanki ,105,Andhra Pradesh 
21,ATLA CHINA VENKATA REDDY,Independent,39,0,39,0.02,Addanki ,105,Andhra Pradesh 
22,DUPATI YESOBU,Independent,55,1,56,0.03,Addanki ,105,Andhra Pradesh 
23,PRABHUDASU SURABHI,Independent,69,0,69,0.03,Addanki ,105,Andhra Pradesh 
24,MANDA SRINIVASA RAO,Independent,245,6,251,0.12,Addanki ,105,Andhra Pradesh 
25,VENKATA CHARI GOLLAPATI,Independent,182,0,182,0.08,Addanki ,105,Andhra Pradesh 
26,NOTA,None of the Above,1591,9,1600,0.74,Addanki ,105,Andhra Pradesh 
27,ASIYA BANU AMLIVALE,Bahujan Samaj Party,2143,9,2152,1.22,Adoni ,146,Andhra Pradesh 
28,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,88943,986,89929,51.06,Adoni ,146,Andhra Pradesh 
29,G. RAMESH YADAV,Indian National Congress,7567,55,7622,4.33,Adoni ,146,Andhra Pradesh 
30,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,71297,468,71765,40.74,Adoni ,146,Andhra Pradesh 
31,K. RANGANNA,Jaibhim Rao Bharat Party,468,3,471,0.27,Adoni ,146,Andhra Pradesh 
32,URUKUNDU VADDE,Independent,139,1,140,0.08,Adoni ,146,Andhra Pradesh 
33,G JAYANNA,Independent,273,1,274,0.16,Adoni ,146,Andhra Pradesh 
34,K. DASTAGIRI NAIDU,Independent,726,1,727,0.41,Adoni ,146,Andhra Pradesh 
35,B. NAGARAJ,Independent,267,1,268,0.15,Adoni ,146,Andhra Pradesh 
36,G. YUVARAJ,Independent,1162,8,1170,0.66,Adoni ,146,Andhra Pradesh 
37,NOTA,None of the Above,1597,18,1615,0.92,Adoni ,146,Andhra Pradesh 
38,AKHILA PRIYA BHUMA,Telugu Desam,97473,1408,98881,49.93,Allagadda ,134,Andhra Pradesh 
39,BARAGODLA HUSSAIN BASHA,Indian National Congress,6057,43,6100,3.08,Allagadda ,134,Andhra Pradesh 
40,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,85966,878,86844,43.85,Allagadda ,134,Andhra Pradesh 
41,VARIKUTI HANNAMMA,Bahujan Samaj Party,1025,5,1030,0.52,Allagadda ,134,Andhra Pradesh 
42,EPANAGANDLA SREENIVASULU YADAV,Samajwadi Party,162,2,164,0.08,Allagadda ,134,Andhra Pradesh 
43,M.KRISHNA REDDY,Praja Ektha Party,129,1,130,0.07,Allagadda ,134,Andhra Pradesh 
44,CHEEMALA RAMESH,Navarang Congress Party,113,0,113,0.06,Allagadda ,134,Andhra Pradesh 
45,CHENNAIAH MADARA,Anna YSR Congress Party,105,3,108,0.05,Allagadda ,134,Andhra Pradesh 
46,DARA SHEKHAR,Jaibhim Rao Bharat Party,117,2,119,0.06,Allagadda ,134,Andhra Pradesh 
47,NERELLA OBULESU,Revolutionary Socialist Party,216,2,218,0.11,Allagadda ,134,Andhra Pradesh 
48,C. VENKATA RAMANA,Neethi Nijayithi Party,91,2,93,0.05,Allagadda ,134,Andhra Pradesh 
49,ANISETTY BALA PEDDAIAH,Independent,110,1,111,0.06,Allagadda ,134,Andhra Pradesh 
50,ARLA PADMAJA,Independent,114,1,115,0.06,Allagadda ,134,Andhra Pradesh 
51,KOTTAPU PEDDI REDDY,Independent,272,0,272,0.14,Allagadda ,134,Andhra Pradesh 
52,GANGULA PRAHLADA REDDY,Independent,321,1,322,0.16,Allagadda ,134,Andhra Pradesh 
53,K. CHANDRA SEKHARA REDDY,Independent,657,0,657,0.33,Allagadda ,134,Andhra Pradesh 
54,JAJJARI MARIYADAS,Independent,855,1,856,0.43,Allagadda ,134,Andhra Pradesh 
55,T.A. NARASIMHA RAO,Independent,337,0,337,0.17,Allagadda ,134,Andhra Pradesh 
56,NOTA,None of the Above,1564,18,1582,0.8,Allagadda ,134,Andhra Pradesh 
57,ARAKATLA NAVEEN KISHOR,Indian National Congress,5751,21,5772,2.74,Alur,147,Andhra Pradesh 
58,H. RAMALINGAIAH,Bahujan Samaj Party,1364,5,1369,0.65,Alur,147,Andhra Pradesh 
59,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,99785,479,100264,47.65,Alur,147,Andhra Pradesh 
60,B. VEERABHADRA GOWD,Telugu Desam,96597,836,97433,46.3,Alur,147,Andhra Pradesh 
61,N MOHAN PRASAD,Bharatha Chaitanya Yuvajana Party,673,1,674,0.32,Alur,147,Andhra Pradesh 
62,SHAIK. SHAIKSHA VALI,Jai Bharat National Party,275,1,276,0.13,Alur,147,Andhra Pradesh 
63,M. AMANULLA,Independent,227,0,227,0.11,Alur,147,Andhra Pradesh 
64,ADONI ANJANEYULU,Independent,200,0,200,0.1,Alur,147,Andhra Pradesh 
65,RANGASWAMY KAVALI,Independent,220,0,220,0.1,Alur,147,Andhra Pradesh 
66,R. LOKANATH,Independent,282,0,282,0.13,Alur,147,Andhra Pradesh 
67,B. SATYANNA,Independent,534,2,536,0.25,Alur,147,Andhra Pradesh 
68,HEBBATAM VANNURAPPA,Independent,542,0,542,0.26,Alur,147,Andhra Pradesh 
69,NOTA,None of the Above,2629,5,2634,1.25,Alur,147,Andhra Pradesh 
70,ANNAJIRAO SANAPALA,Indian National Congress,3456,25,3481,2.19,Amadalavalasa ,6,Andhra Pradesh 
71,KOONA RAVI KUMAR,Telugu Desam,85121,2882,88003,55.45,Amadalavalasa ,6,Andhra Pradesh 
72,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,51938,1033,52971,33.38,Amadalavalasa ,6,Andhra Pradesh 
73,SOMESWARA RAO LASA,Bahujan Samaj Party,355,4,359,0.23,Amadalavalasa ,6,Andhra Pradesh 
74,GURUGU REVATHI,Jaathia Chethi Vruthula Ikya Vedika Party,183,4,187,0.12,Amadalavalasa ,6,Andhra Pradesh 
75,BURIDI GOURI SHANKAR,Jai Bharat National Party,110,3,113,0.07,Amadalavalasa ,6,Andhra Pradesh 
76,MUDDADA MADHUSUDANA RAO,Pyramid Party of India,85,0,85,0.05,Amadalavalasa ,6,Andhra Pradesh 
77,SEPENA SRINIVASA RAO,Bharatha Chaitanya Yuvajana Party,99,0,99,0.06,Amadalavalasa ,6,Andhra Pradesh 
78,GANAPATHI JAGADEESWARA RAO (JAGADEESH),Independent,535,11,546,0.34,Amadalavalasa ,6,Andhra Pradesh 
79,GANDHI SUVVARI,Independent,9188,349,9537,6.01,Amadalavalasa ,6,Andhra Pradesh 
80,MUDDADA RAMBUJJI,Independent,166,0,166,0.1,Amadalavalasa ,6,Andhra Pradesh 
81,LOLUGU VENKATA RAJASEKHAR,Independent,451,23,474,0.3,Amadalavalasa ,6,Andhra Pradesh 
82,SANAPALA SURESH KUMAR,Independent,383,3,386,0.24,Amadalavalasa ,6,Andhra Pradesh 
83,NOTA,None of the Above,2282,18,2300,1.45,Amadalavalasa ,6,Andhra Pradesh 
84,AITHABATHULA ANANDARAO,Telugu Desam,102426,1596,104022,58.56,Amalapuram ,44,Andhra Pradesh 
85,AITHABATHULA SUBHASHINI,Indian National Congress,1327,30,1357,0.76,Amalapuram ,44,Andhra Pradesh 
86,MOHAN BABU POLAMURI,Bahujan Samaj Party,1971,20,1991,1.12,Amalapuram ,44,Andhra Pradesh 
87,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,64594,800,65394,36.81,Amalapuram ,44,Andhra Pradesh 
88,AITABATHULA ABHIMANYUDU,Jatiya Jana Sena Party,278,1,279,0.16,Amalapuram ,44,Andhra Pradesh 
89,AITABATTULA ANANDA BABU,Navarang Congress Party,125,0,125,0.07,Amalapuram ,44,Andhra Pradesh 
90,ISWARYA BOJJA,Liberation Congress Party,95,3,98,0.06,Amalapuram ,44,Andhra Pradesh 
91,JANGA RAJENDRAKUMAR,Loktantrik Janta Dal,784,11,795,0.45,Amalapuram ,44,Andhra Pradesh 
92,DEVARAPALLI RAJIV,Jai Bharat National Party,90,0,90,0.05,Amalapuram ,44,Andhra Pradesh 
93,CHUTTUGULLA VEERA VENKATA SATYANARAYANA,Independent,309,6,315,0.18,Amalapuram ,44,Andhra Pradesh 
94,PARAMATA SYAMKUMAR,Independent,768,25,793,0.45,Amalapuram ,44,Andhra Pradesh 
95,BEERA RAMARAO,Independent,100,0,100,0.06,Amalapuram ,44,Andhra Pradesh 
96,VARASALA SATYANARAYANA,Independent,143,1,144,0.08,Amalapuram ,44,Andhra Pradesh 
97,NOTA,None of the Above,2105,28,2133,1.2,Amalapuram ,44,Andhra Pradesh 
98,I. R. GANGADHAR,Indian National Congress,1841,54,1895,1.1,Anakapalle ,30,Andhra Pradesh 
99,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,48652,710,49362,28.57,Anakapalle ,30,Andhra Pradesh 
100,SUDHIKONDA MANIKYALA RAO,Bahujan Samaj Party,1297,9,1306,0.76,Anakapalle ,30,Andhra Pradesh 
101,OMMI VENKAT YADAV,Samajwadi Party,381,4,385,0.22,Anakapalle ,30,Andhra Pradesh 
102,AMBIKADEVI POLAMARASETTY,Pyramid Party of India,238,7,245,0.14,Anakapalle ,30,Andhra Pradesh 
103,KANISETTY SURESH BABU,Jai Bharat National Party,692,8,700,0.41,Anakapalle ,30,Andhra Pradesh 
104,KONATHALA RAMAKRISHNA,Janasena Party,113185,1941,115126,66.63,Anakapalle ,30,Andhra Pradesh 
105,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,227,2,229,0.13,Anakapalle ,30,Andhra Pradesh 
106,DOMMESI APPARAO,Republican Party of India (Khobragade),274,1,275,0.16,Anakapalle ,30,Andhra Pradesh 
107,V.V. RAMACHANDRA RAO SURISETTY,Prem Janata Dal,435,1,436,0.25,Anakapalle ,30,Andhra Pradesh 
108,ALLA SATTI RAJU,Independent,313,1,314,0.18,Anakapalle ,30,Andhra Pradesh 
109,KAPARAPU SATYANARAYANA,Independent,652,0,652,0.38,Anakapalle ,30,Andhra Pradesh 
110,NOTA,None of the Above,1827,26,1853,1.07,Anakapalle ,30,Andhra Pradesh 
111,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,78273,2038,80311,42.36,Anantapur Urban,153,Andhra Pradesh 
112,DAGGUPATI PRASAD,Telugu Desam,99062,4272,103334,54.51,Anantapur Urban,153,Andhra Pradesh 
113,K. NAGARAJU,Bahujan Samaj Party,458,18,476,0.25,Anantapur Urban,153,Andhra Pradesh 
114,AKULA RAGHAVENDRA,Jai Bharat National Party,302,7,309,0.16,Anantapur Urban,153,Andhra Pradesh 
115,KUMMETHA SURYA SEKHARA REDDY,All India Forward Bloc,113,3,116,0.06,Anantapur Urban,153,Andhra Pradesh 
116,C. JAFFER,Communist Party of India,2706,132,2838,1.5,Anantapur Urban,153,Andhra Pradesh 
117,BHASKAR TALARI,All India Kisan Janatha party,81,1,82,0.04,Anantapur Urban,153,Andhra Pradesh 
118,D. RAGHAVENDRA,Socialist Unity Centre Of India (COMMUNIST),109,3,112,0.06,Anantapur Urban,153,Andhra Pradesh 
119,GADIYARAM MALLIKARJUNA SARMA,Independent,108,4,112,0.06,Anantapur Urban,153,Andhra Pradesh 
120,CHIGICHERLA MALLIKARJUNA,Independent,64,1,65,0.03,Anantapur Urban,153,Andhra Pradesh 
121,JAYALAKSHMI,Independent,86,2,88,0.05,Anantapur Urban,153,Andhra Pradesh 
122,SREERANGARAJULA GOPINATH ROYAL,Independent,93,1,94,0.05,Anantapur Urban,153,Andhra Pradesh 
123,V. SAI PRASAD,Independent,97,2,99,0.05,Anantapur Urban,153,Andhra Pradesh 
124,V. SURENDRA RAO,Independent,49,1,50,0.03,Anantapur Urban,153,Andhra Pradesh 
125,V. HARI KUMAR,Independent,110,0,110,0.06,Anantapur Urban,153,Andhra Pradesh 
126,NOTA,None of the Above,1307,72,1379,0.73,Anantapur Urban,153,Andhra Pradesh 
127,YELLA SRINIVASA RAO,Indian National Congress,1276,24,1300,0.66,Anaparthy ,40,Andhra Pradesh 
128,KOLLAM SRINU,Bahujan Samaj Party,306,2,308,0.16,Anaparthy ,40,Andhra Pradesh 
129,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,104705,1015,105720,53.73,Anaparthy ,40,Andhra Pradesh 
130,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,84138,732,84870,43.14,Anaparthy ,40,Andhra Pradesh 
131,KOVVURI SIVANANDA REDDY,Akhil Bharatiya Jan Sangh,289,1,290,0.15,Anaparthy ,40,Andhra Pradesh 
132,GANGADHAR LINGAM,Jaibhim Rao Bharat Party,269,2,271,0.14,Anaparthy ,40,Andhra Pradesh 
133,SHEK SARDHAR HUSSEN,Liberation Congress Party,284,1,285,0.14,Anaparthy ,40,Andhra Pradesh 
134,CHELLE SRINU,Independent,275,3,278,0.14,Anaparthy ,40,Andhra Pradesh 
135,PULAGAM SURREDDY,Independent,327,0,327,0.17,Anaparthy ,40,Andhra Pradesh 
136,NOTA,None of the Above,3093,12,3105,1.58,Anaparthy ,40,Andhra Pradesh 
137,KAMBHAM RAJU BABU,Bahujan Samaj Party,423,9,432,0.24,Kakinada City,41,Andhra Pradesh 
138,CHEKKA NOOKARAJU,Indian National Congress,2100,38,2138,1.21,Kakinada City,41,Andhra Pradesh 
139,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,55590,852,56442,31.86,Kakinada City,41,Andhra Pradesh 
140,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,111068,1946,113014,63.78,Kakinada City,41,Andhra Pradesh 
141,KATRU NAGABABU,Telugu Nava Garjana Party,325,2,327,0.18,Kakinada City,41,Andhra Pradesh 
142,CHAKRAVARTHI GINJALA,Jaibhim Rao Bharat Party,107,2,109,0.06,Kakinada City,41,Andhra Pradesh 
143,MUNAGALA SAI GOPI,Telugu Janata Party,100,0,100,0.06,Kakinada City,41,Andhra Pradesh 
144,LEELA SURYA KIRAN YANAMANDRA,Pyramid Party of India,259,1,260,0.15,Kakinada City,41,Andhra Pradesh 
145,M.VENKATESWARA RAO (BANDABABU),Navarang Congress Party,1708,2,1710,0.97,Kakinada City,41,Andhra Pradesh 
146,V.VENKATESWARA RAO (KONDABABU),Jatiya Jana Sena Party,286,4,290,0.16,Kakinada City,41,Andhra Pradesh 
147,KASIMKOTA CHANDRASEKHAR,Independent,118,0,118,0.07,Kakinada City,41,Andhra Pradesh 
148,M.PRABHAKARA RAO,Independent,114,2,116,0.07,Kakinada City,41,Andhra Pradesh 
149,B.BAIRAVASWAMY,Independent,138,1,139,0.08,Kakinada City,41,Andhra Pradesh 
150,T.SRINIVASA RAO,Independent,372,0,372,0.21,Kakinada City,41,Andhra Pradesh 
151,SATISH KUMAR,Independent,171,0,171,0.1,Kakinada City,41,Andhra Pradesh 
152,NOTA,None of the Above,1419,27,1446,0.82,Kakinada City,41,Andhra Pradesh 
153,KOTA. SRINIVAS RAO,Indian National Congress,1157,16,1173,0.67,Ramachandrapuram,42,Andhra Pradesh 
154,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party,70629,732,71361,40.69,Ramachandrapuram,42,Andhra Pradesh 
155,MATHA RANI SUBRAHMANYAM,Bahujan Samaj Party,1188,18,1206,0.69,Ramachandrapuram,42,Andhra Pradesh 
156,VASAMSETTI. SUBASH,Telugu Desam,96149,1503,97652,55.68,Ramachandrapuram,42,Andhra Pradesh 
157,JUTTUKA VENKATARAO,Pyramid Party of India,490,1,491,0.28,Ramachandrapuram,42,Andhra Pradesh 
158,BARLA SRINIVAS YADAV,Bharatha Chaitanya Yuvajana Party,92,1,93,0.05,Ramachandrapuram,42,Andhra Pradesh 
159,KATE SUBRAHMANYAM,Independent,52,1,53,0.03,Ramachandrapuram,42,Andhra Pradesh 
160,KOYYA BANGARU BABU,Independent,52,2,54,0.03,Ramachandrapuram,42,Andhra Pradesh 
161,CHANDRA SEKHAR MADIKI,Independent,78,0,78,0.04,Ramachandrapuram,42,Andhra Pradesh 
162,JHAI SREE SUREYENDRA NADHA BABUJI SREEGUTHULA,Independent,1070,9,1079,0.62,Ramachandrapuram,42,Andhra Pradesh 
163,YARRAMSETTI RAMARAJU,Independent,245,1,246,0.14,Ramachandrapuram,42,Andhra Pradesh 
164,LANKA. PRAVEEN KUMAR,Independent,121,1,122,0.07,Ramachandrapuram,42,Andhra Pradesh 
165,SUJATA CHEKKA,Independent,172,0,172,0.1,Ramachandrapuram,42,Andhra Pradesh 
166,NOTA,None of the Above,1595,13,1608,0.92,Ramachandrapuram,42,Andhra Pradesh 
167,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,117233,1454,118687,57.25,Mummidivaram,43,Andhra Pradesh 
168,PALEPU DHARMA RAO,Indian National Congress,1330,12,1342,0.65,Mummidivaram,43,Andhra Pradesh 
169,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,79298,653,79951,38.56,Mummidivaram,43,Andhra Pradesh 
170,BHIMARAO VAKAPALLI,Bahujan Samaj Party,2746,36,2782,1.34,Mummidivaram,43,Andhra Pradesh 
171,DADALA RAMA KRISHNA,Republican Party of India,263,6,269,0.13,Mummidivaram,43,Andhra Pradesh 
172,PEMMADI SWAMI,All India Forward Bloc,107,0,107,0.05,Mummidivaram,43,Andhra Pradesh 
173,BABJI VANACHARLA,Jai Bharat National Party,93,1,94,0.05,Mummidivaram,43,Andhra Pradesh 
174,MALLADI KRISHNARAO,Telugu Nava Garjana Party,152,1,153,0.07,Mummidivaram,43,Andhra Pradesh 
175,R. MAHA LAKSHMI,Pyramid Party of India,200,0,200,0.1,Mummidivaram,43,Andhra Pradesh 
176,ANGADI REVATHI,Independent,743,3,746,0.36,Mummidivaram,43,Andhra Pradesh 
177,TEKUMUDI VENKATA RAO,Independent,98,0,98,0.05,Mummidivaram,43,Andhra Pradesh 
178,DONGA SATYA RAM,Independent,93,1,94,0.05,Mummidivaram,43,Andhra Pradesh 
179,RAVI KUMAR CHEEKURUMELLI,Independent,205,0,205,0.1,Mummidivaram,43,Andhra Pradesh 
180,RAYUDU SRIRAMA CHANDRA MURTHY,Independent,446,1,447,0.22,Mummidivaram,43,Andhra Pradesh 
181,SATTIRAJU SWAMY,Independent,281,0,281,0.14,Mummidivaram,43,Andhra Pradesh 
182,NOTA,None of the Above,1857,8,1865,0.9,Mummidivaram,43,Andhra Pradesh 
183,GOLLAPALLI SURYA RAO,Yuvajana Sramika Rythu Congress Party,55711,792,56503,35.57,Razole ,45,Andhra Pradesh 
184,PULAPAKURA LILINI ASHA RANI,Bahujan Samaj Party,1066,29,1095,0.69,Razole ,45,Andhra Pradesh 
185,SARELLA PRASANNA KUMAR,Indian National Congress,1404,31,1435,0.9,Razole ,45,Andhra Pradesh 
186,DEVA VARAPRASAD,Janasena Party,93952,1562,95514,60.13,Razole ,45,Andhra Pradesh 
187,YARLAGADDA KRISHNA,Pyramid Party of India,754,1,755,0.48,Razole ,45,Andhra Pradesh 
188,VENKATA PRASAD MANUKONDA M.A,Jatiya Jana Sena Party,316,0,316,0.2,Razole ,45,Andhra Pradesh 
189,KONDETI PRABHAKARAA REDDY,Independent,143,1,144,0.09,Razole ,45,Andhra Pradesh 
190,POTHUMUDI ALIVELU MANGATAYARU,Independent,279,3,282,0.18,Razole ,45,Andhra Pradesh 
191,BODDAPALLI NAGESWARA RAO,Independent,352,0,352,0.22,Razole ,45,Andhra Pradesh 
192,MATHI JAYA PRAKASH,Independent,815,1,816,0.51,Razole ,45,Andhra Pradesh 
193,NOTA,None of the Above,1607,21,1628,1.02,Razole ,45,Andhra Pradesh 
194,ASHOK BENDALAM,Telugu Desam,108738,1874,110612,58.58,Ichchapuram,1,Andhra Pradesh 
195,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,70130,699,70829,37.51,Ichchapuram,1,Andhra Pradesh 
196,BISAI VEDAVARA,Bahujan Samaj Party,625,9,634,0.34,Ichchapuram,1,Andhra Pradesh 
197,MASUPATRI CHAKRAVARTHI REDDY,Indian National Congress,760,32,792,0.42,Ichchapuram,1,Andhra Pradesh 
198,BADDI MUKHALINGAM,Bharatha Chaitanya Yuvajana Party,165,4,169,0.09,Ichchapuram,1,Andhra Pradesh 
199,VISWANADHAM LABALA,Jaibhim Rao Bharat Party,161,2,163,0.09,Ichchapuram,1,Andhra Pradesh 
200,MURAPALA LAKSHMI,Independent,211,5,216,0.11,Ichchapuram,1,Andhra Pradesh 
201,SUGGU CHAKRAVARTHI,Independent,279,5,284,0.15,Ichchapuram,1,Andhra Pradesh 
202,SURYA VARA PRASADA RAO JANNELA,Independent,736,6,742,0.39,Ichchapuram,1,Andhra Pradesh 
203,NOTA,None of the Above,4345,29,4374,2.32,Ichchapuram,1,Andhra Pradesh 
204,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,60305,905,61210,36.43,Palasa,2,Andhra Pradesh 
205,GOUTHU SIREESHA,Telugu Desam,99588,1972,101560,60.44,Palasa,2,Andhra Pradesh 
206,TRINATH BABU MAJJI,Indian National Congress,999,65,1064,0.63,Palasa,2,Andhra Pradesh 
207,NAGIRI SRINIVASA RAO,Bahujan Samaj Party,260,15,275,0.16,Palasa,2,Andhra Pradesh 
208,ANIL RAJU GMS,Jai Bharat National Party,116,7,123,0.07,Palasa,2,Andhra Pradesh 
209,APPALARAJU MOTURU,Bharatha Chaitanya Yuvajana Party,64,1,65,0.04,Palasa,2,Andhra Pradesh 
210,KAMESWARARAO POTANAPALLI,Communist Party of India (Marxist-Leninist) (Liberation),152,3,155,0.09,Palasa,2,Andhra Pradesh 
211,KARNI.VENKATARAMANA MURTY,Independent,139,3,142,0.08,Palasa,2,Andhra Pradesh 
212,TELAGAVALASA JAYARAM,Independent,322,0,322,0.19,Palasa,2,Andhra Pradesh 
213,D.VEERASWAMI,Independent,352,5,357,0.21,Palasa,2,Andhra Pradesh 
214,NOTA,None of the Above,2742,20,2762,1.64,Palasa,2,Andhra Pradesh 
215,ATCHANNAIDU KINJARAPU,Telugu Desam,105182,2741,107923,55.71,Tekkali ,3,Andhra Pradesh 
216,KILLI KRUPA RANI,Indian National Congress,2577,107,2684,1.39,Tekkali ,3,Andhra Pradesh 
217,CHINTADA SRINIVASA RAO,Bahujan Samaj Party,781,13,794,0.41,Tekkali ,3,Andhra Pradesh 
218,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,72282,1206,73488,37.94,Tekkali ,3,Andhra Pradesh 
219,BYPALLI PARAMESWARARAO,Jai Bharat National Party,377,9,386,0.2,Tekkali ,3,Andhra Pradesh 
220,ATTADA RAJESH,Independent,603,11,614,0.32,Tekkali ,3,Andhra Pradesh 
221,GEDDAVALASA RAMU,Independent,475,7,482,0.25,Tekkali ,3,Andhra Pradesh 
222,NOTA,None of the Above,3660,3682,7342,3.79,Tekkali ,3,Andhra Pradesh 
223,KOPPURAUTU VENKATA RAO,Indian National Congress,3502,63,3565,2.18,Pathapatnam ,4,Andhra Pradesh 
224,BODDEPALLI KRISHNA RAO,Bahujan Samaj Party,1695,9,1704,1.04,Pathapatnam ,4,Andhra Pradesh 
225,MAMIDI GOVINDA RAO,Telugu Desam,87273,2179,89452,54.77,Pathapatnam ,4,Andhra Pradesh 
226,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,62035,890,62925,38.53,Pathapatnam ,4,Andhra Pradesh 
227,GOLLA TIRUPATHI RAO,Jai Bharat National Party,362,6,368,0.23,Pathapatnam ,4,Andhra Pradesh 
228,JANNI SANJEEVA RAO,Gondwana Dandkaranya Party,384,39,423,0.26,Pathapatnam ,4,Andhra Pradesh 
229,ASAPANNA SANKARA RAO,Independent,113,0,113,0.07,Pathapatnam ,4,Andhra Pradesh 
230,KOYYANA GOVINDA RAO,Independent,245,0,245,0.15,Pathapatnam ,4,Andhra Pradesh 
231,BAGGU KRUSHNA,Independent,327,1,328,0.2,Pathapatnam ,4,Andhra Pradesh 
232,R.MOHANA RAO,Independent,606,2,608,0.37,Pathapatnam ,4,Andhra Pradesh 
233,NOTA,None of the Above,3584,20,3604,2.21,Pathapatnam ,4,Andhra Pradesh 
234,AMBATI KRISHNA RAO,Indian National Congress,4270,83,4353,2.27,Srikakulam ,5,Andhra Pradesh 
235,GUJJALA SURYANARAYANA,Bahujan Samaj Party,1375,13,1388,0.72,Srikakulam ,5,Andhra Pradesh 
236,GONDU SHANKAR,Telugu Desam,113455,3636,117091,60.93,Srikakulam ,5,Andhra Pradesh 
237,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,62862,1708,64570,33.6,Srikakulam ,5,Andhra Pradesh 
238,KARI LAKSHMANA,Pyramid Party of India,306,2,308,0.16,Srikakulam ,5,Andhra Pradesh 
239,PANILI PRASAD,Bharatha Chaitanya Yuvajana Party,610,5,615,0.32,Srikakulam ,5,Andhra Pradesh 
240,RAGOLU NAGASIVA,Jai Bharat National Party,463,7,470,0.24,Srikakulam ,5,Andhra Pradesh 
241,NOTA,None of the Above,3313,60,3373,1.76,Srikakulam ,5,Andhra Pradesh 
242,ESWARA RAO NADUKUDITI,Bharatiya Janata Party,111024,1746,112770,54.59,Etcherla ,7,Andhra Pradesh 
243,KARIMAJJI MALLESWARA RAO,Indian National Congress,2415,37,2452,1.19,Etcherla ,7,Andhra Pradesh 
